name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
Jindal Steel and Power,3.9,2.4k,Iron & Steel , 5k-10k Employees , Fortune India 500 , 45 years old , Delhi/NCR +114 more
Wipro Consumer Care & Lighting,3.9,2.4k,FMCG , 1k-5k Employees , 79 years old ," Bangalore/Bengaluru +92 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal",
CMS IT Services,3.1,2.4k,IT Services & Consulting , 5k-10k Employees , Startup , 10 years old , Bangalore +136 more
NatWest Group,4.1,2.4k,Banking , 10k-50k Employees , Forbes Global 2000 ," Gurgaon/Gurugram +22 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Bank of America,4.4,2.4k,Banking , 10k-50k Employees , Fortune India 500 , 26 years old , Charlotte +29 more
MRF Tyres,3.7,2.4k,Auto Components , 10k-50k Employees , Public , 78 years old , Chennai +161 more
Honda Motorcycle & Scooter,4.2,2.4k,Automobile , 10k-50k Employees , 25 years old ," Gurgaon/Gurugram +207 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture",
Berger Paints,3.7,2.4k,Chemicals , 1k-5k Employees , Public , 101 years old , Kolkata +228 more
Reliance Nippon Life Insurance,3.9,2.4k,Insurance , 10k-50k Employees , 24 years old , Mumbai +427 more,
24/7 Customer,3.6,2.4k,BPO , 5k-10k Employees , 24 years old ," San Jose +23 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Johnson Controls,3.8,2.4k,Industrial Automation , 5k-10k Employees , Public , 139 years old , Cork +47 more
Axis Direct,3.9,2.4k,Financial Services , 1k-5k Employees , 13 years old ," San Mateo +270 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
HDFC Ergo General Insurance,4.0,2.4k,Insurance , 10k-50k Employees , Public , 22 years old , Mumbai +220 more
PolicyBazaar,3.4,2.4k,Internet , 10k-50k Employees , Public , 16 years old , Gurgaon +79 more
RBL Bank,3.7,2.4k,Banking , 10k-50k Employees , Public , 81 years old , Mumbai +213 more
Carelon Global Solutions,4.0,2.4k,IT Services & Consulting , 5k-10k Employees ," Hyderabad/Secunderabad +9 more
								   Highly Rated For Job Security, Salary & Benefits, Company Culture",,
Paras Hospital,4.6,2.3k,Healthcare , 5k-10k Employees , 18 years old ," Gurgaon/Gurugram +41 more
								   Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",
PNB MetLife,3.4,2.3k,Insurance , 5k-10k Employees , Conglomerate , 23 years old , Mumbai +315 more
GeBBS Healthcare Solutions,3.7,2.3k,BPO , 5k-10k Employees , 19 years old ," Culver City +17 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Cogent E Services,3.3,2.3k,BPO , 10k-50k Employees , Conglomerate , 20 years old , Noida +33 more
Conduent,3.5,2.3k,BPO , 5k-10k Employees , 7 years old ," Florham Park +20 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Ceat Tyres,4.0,2.3k,Auto Components , 5k-10k Employees , Public , 66 years old , Mumbai +107 more
Kotak Mahindara Life Insurance,3.9,2.3k,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +202 more
Reliance Digital,4.2,2.3k,Retail , 5k-10k Employees , 17 years old ," Mumbai +290 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
Dabur,3.8,2.3k,FMCG , 5k-10k Employees , Public , 140 years old , Ghaziabad +242 more
Shoppers Stop,4.1,2.3k,Retail , 5k-10k Employees , Public , 33 years old , Mumbai +62 more
Jubilant Foods Works,3.8,2.3k,Food Processing , 10k-50k Employees , Public , 29 years old , Noida +187 more
JK Cement,4.1,2.3k,Building Material , 1k-5k Employees , Public , 50 years old , Gurgaon/Gurugram +227 more
Indiabulls Home Loans,3.8,2.3k,NBFC , 5k-10k Employees , Public , 19 years old , Gurgaon/Gurugram +185 more
GATI-KWE,4.0,2.3k,Logistics , 1k-5k Employees , 12 years old ," Hyderabad/Secunderabad +156 more
								   Highly Rated For Skill Development / Learning, Job Security, Work Life Balance",
Marpu Foundation,4.8,2.3k,Non-Profit , 51-200 Employees , 8 years old ," Hyderabad/Secunderabad +46 more
								   Highly Rated For Company Culture, Work Satisfaction, Skill Development / Learning",
IndiGo,3.5,2.3k,Aviation , 10k-50k Employees , Fortune India 500 , 19 years old , Gurgaon/Gurugram +87 more
ACC,3.9,2.2k,Building Material , 5k-10k Employees , Public , 88 years old , Mumbai +209 more
S&P Global,4.2,2.2k,Analytics & KPO , 10k-50k Employees , Public , 107 years old , New York City +25 more
Reliance SMSL,4.0,2.2k,BPO , 1k-5k Employees , Public , 17 years old , Mumbai +473 more
ArcelorMittal Nippon Steel,4.0,2.2k,Iron & Steel , 5k-10k Employees , Conglomerate ," Surat +65 more
								   Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal",
Birlasoft,3.7,2.2k,IT Services & Consulting , 10k-50k Employees , Public , 29 years old , Pune +32 more
Synechron,3.9,2.2k,IT Services & Consulting , 5k-10k Employees , 23 years old ," New York +26 more
								   Highly Rated For Salary & Benefits, Skill Development / Learning, Company Culture",
Torrent Pharmaceuticals,3.9,2.2k,Pharma , 10k-50k Employees , Public , 53 years old , Ahmedabad +95 more
Lenskart,3.2,2.2k,Internet , 5k-10k Employees , Indian Unicorn , 14 years old , Faridabad +156 more
KPIT Technologies,3.6,2.2k,Software Product , 5k-10k Employees , Public , 34 years old , Pune +28 more
Square Yards,4.0,2.2k,Real Estate , 1k-5k Employees , 11 years old ," Gurgaon +41 more
								   Highly Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
HARMAN,3.8,2.2k,Consumer Electronics & Appliances , 5k-10k Employees , Public , 15 years old , Stamford +28 more
UPL,4.1,2.2k,Agro Chemicals , 5k-10k Employees , Public , 55 years old , Mumbai +152 more
Titan Company,4.4,2.2k,Retail , 5k-10k Employees , Public , 40 years old , Bangalore +136 more
Patanjali Ayurved,4.0,2.1k,FMCG , 5k-10k Employees , Fortune India 500 , 18 years old , Haridwar +277 more
Bajaj Electricals,4.1,2.1k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 86 years old , Mumbai +188 more
Dilip Buildcon,4.0,2.1k,Engineering & Construction , 10k-50k Employees , Public , 37 years old , Bhopal +177 more
Statestreet HCL Services,3.2,2.1k,BPO , 5k-10k Employees , 12 years old ," New Delhi +16 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
RSPL Group,4.1,2.1k,FMCG , 10k-50k Employees , 37 years old ," Mumbai +191 more
								   Highly Rated For Job Security, Skill Development / Learning, Work Life Balance",
AGS Health,4.0,2.1k,BPO , 10k-50k Employees , 13 years old ," Washington DC +35 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning",
Tata AIG,4.2,2.1k,Insurance , 5k-10k Employees , 24 years old ," Mumbai +214 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning",
Tech Mahindra Business Services,3.5,2.1k,BPO , 5k-10k Employees , Public , 21 years old , Mumbai +43 more
Escorts Kubota Limited,4.1,2.1k,Automobile , 1k-5k Employees , Public , 64 years old , Faridabad +123 more
Simplex Infrastructures,3.3,2.1k,Engineering & Construction , 1k-5k Employees , Public , 100 years old , Kolkata +131 more
TVS Credit,4.5,2.1k,NBFC , 10k-50k Employees , Public , 16 years old , Chennai +293 more
Apollo Tyres,4.1,2.1k,Auto Components , 10k-50k Employees , Public , 52 years old , Gurgaon/Gurugram +147 more
AFCONS Infrastructure,4.4,2.1k,Engineering & Construction , 5k-10k Employees , 65 years old ," Mumbai +92 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Job Security, Skill Development / Learning, Company Culture",
IGT Solutions,3.3,2.1k,BPO , 5k-10k Employees , 26 years old ," Gurgaon/Gurugram +25 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Domino's Pizza,4.0,2.1k,Hospitality , 1k-5k Employees , Public , 64 years old , Ypsilanti +212 more
EY Global Delivery Services ( EY GDS),3.7,2.1k,Accounting & Auditing , 50k-1 Lakh Employees , 22 years old ," Bangalore/Bengaluru +38 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Work Satisfaction, Work Life Balance",
Alstom Transportation,3.9,2.1k,Engineering & Construction , 5k-10k Employees , Forbes Global 2000 , 96 years old , Saint-Ouen +63 more
Flex,4.1,2.1k,Electronics Manufacturing , 5k-10k Employees , Forbes Global 2000 , 55 years old , San Jose +38 more
Mankind Pharma,4.1,2.1k,Pharma , 10k-50k Employees , Fortune India 500 , 29 years old , New Delhi +187 more
Huawei Technologies,4.0,2.1k,Telecom , 51-200 Employees , 22 years old ," Gurgaon/Gurugram +97 more
								   Highly Rated For Salary & Benefits, Skill Development / Learning",
Suzlon Group,4.1,2.1k,Power , 5k-10k Employees , Public , 29 years old , Pune +104 more
KocharTech,4.1,2.1k,IT Services & Consulting , 1k-5k Employees , 29 years old ," Gurgaon/Gurugram +24 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",
Birla Sun Life Insurance,4.2,2.1k,Insurance , 10k-50k Employees , 24 years old ," Mumbai +363 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance",
Capita,3.8,2.1k,IT Services & Consulting , 5k-10k Employees , 19 years old ," Indore +22 more
								   Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",
McDonald's,4.2,2k,Hospitality , 5k-10k Employees , Forbes Global 2000 , 69 years old , Chicago +134 more
Zensar Technologies,3.8,2k,IT Services & Consulting , 5k-10k Employees , Public , 23 years old , Pune +22 more
Max Healthcare,4.1,2k,Healthcare , 1k-5k Employees , Fortune India 500 , 23 years old , Delhi/NCR +56 more
IDFC FIRST Bharat,4.6,2k,NBFC , 10k-50k Employees , 8 years old ," Tiruchirappalli +285 more
								   Highly Rated For Salary & Benefits, Job Security, Company Culture",
Taj Hotels Resorts and Palaces,4.2,2k,Hospitality , 10k-50k Employees , 121 years old ," Mumbai +93 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning",
Tata Technologies,3.7,2k,Engineering & Construction , 5k-10k Employees , Conglomerate , 35 years old , Singapore +39 more
Bajaj Allianz General Insurance,4.0,2k,Insurance , 5k-10k Employees ," Pune +201 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",,
Lava International,4.1,2k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 15 years old , Noida +207 more
State Street Corporation,3.8,2k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 232 years old , Boston +18 more
Nokia,4.2,2k,Telecom , 10k-50k Employees , Forbes Global 2000 , 159 years old , Espoo +148 more
ElasticRun,3.3,2k,Logistics , 1k-5k Employees , Indian Unicorn , 8 years old , Pune +336 more
Landmark Group,4.1,2k,Retail , 1k-5k Employees , Conglomerate , 51 years old , Dubai Marina +139 more
Nestle,4.1,2k,Food Processing , 5k-10k Employees , Public , 65 years old , Vevey +221 more
Walmart,4.0,2k,Retail , 5k-10k Employees , Forbes Global 2000 , 15 years old , Bangalore/Bengaluru +76 more
State Street Syntel,3.7,2k,Financial Services , 501-1k Employees , 20 years old ," Mumbai +19 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
HDFC Sales,4.0,2k,Financial Services , 10k-50k Employees , 20 years old ," Mumbai +276 more
								   Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",
Capgemini Engineering,3.6,2k,10k-50k Employees ," Gurgaon/Gurugram +19 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,,
Blue Dart Express,4.1,2k,Logistics , 10k-50k Employees , Public , 41 years old , Mumbai +231 more
Tractors and Farm Equipment,4.1,2k,Automobile , 10k-50k Employees , Public , 64 years old , Chennai +160 more
I Process Services,3.8,2k,Recruitment , 1k-5k Employees , 19 years old ," Mumbai +275 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
G4S,4.0,1.9k,Law Enforcement & Security , 1 Lakh+ Employees , 28 years old ," Gurgaon/Gurugram +131 more
								   Highly Rated For Work Life Balance, Salary & Benefits, Job Security  Critically Rated For Promotions / Appraisal",
Societe Generale,3.9,1.9k,Financial Services , 1k-5k Employees , 24 years old ," Bangalore/Bengaluru +14 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Fortis Healthcare,4.0,1.9k,Healthcare , 1k-5k Employees , Public , 28 years old , Gurgaon/Gurugram +58 more
BlackBuck,3.8,1.9k,Logistics , 1k-5k Employees , Indian Unicorn , 9 years old , Bangalore +297 more
UNO Minda,4.0,1.9k,Auto Components , 201-500 Employees , Fortune India 500 , 66 years old , Gurgaon +83 more
Fiserv,3.6,1.9k,FinTech , 5k-10k Employees , Forbes Global 2000 , 40 years old , Brookfield +28 more
Croma,4.1,1.9k,Retail , 5k-10k Employees , 18 years old ," Mumbai +133 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",
Micro Labs,3.6,1.9k,Pharma , 10k-50k Employees , 51 years old ," Bangalore/Bengaluru +119 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal, Company Culture",
Britannia,4.1,1.9k,Food Processing , 1k-5k Employees , Public , 132 years old , Reading +226 more
KFintech,3.6,1.9k,FinTech , 5k-10k Employees , Startup , 7 years old , Hyderabad +100 more
Ola Cabs,3.5,1.9k,Internet , 1k-5k Employees , Indian Unicorn , 14 years old , Bangalore +93 more
TVS Supply Chain Solutions,3.9,1.9k,Logistics , 1k-5k Employees , 128 years old ," Chennai +127 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Voltas,4.0,1.9k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 70 years old , Mumbai +168 more
Grasim Industries,4.0,1.9k,Building Material , 10k-50k Employees , Public , 77 years old , Nagda +90 more
Lifestyle,4.4,1.9k,Retail , 10k-50k Employees , Fortune India 500 , 25 years old , Bangalore/Bengaluru +108 more
Exide Industries,3.5,1.8k,Auto Components , 5k-10k Employees , Public , 77 years old , Kolkata +181 more
Radisson Hotels,4.0,1.8k,Hospitality , 10k-50k Employees , 115 years old ," Minnetonka +101 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Job Security",
Sterlite Technologies,3.8,1.8k,Hardware & Networking , 1k-5k Employees , Public , 36 years old , Pune +73 more
Shree Cement,4.0,1.8k,Building Material , 5k-10k Employees , Public , 45 years old , Kolkata +186 more
Quest Global,3.6,1.8k,IT Services & Consulting , 10k-50k Employees , 27 years old ," Singapore +31 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Extramarks Education,3.5,1.8k,EdTech , 1k-5k Employees , 17 years old ," Noida +99 more
								    Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",
PepsiCo,4.1,1.8k,Food Processing , 1 Lakh+ Employees , Forbes Global 2000 , 35 years old , Harrison +201 more
The Himalaya Drug Company,4.1,1.8k,Pharma , 5k-10k Employees , 94 years old ," San Francisco +186 more
								   Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning",
Eureka Forbes,3.8,1.8k,Consumer Electronics & Appliances , 1k-5k Employees , 42 years old ," Mumbai +157 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Job Security",
ACT Fibernet,4.0,1.8k,Telecom , 5k-10k Employees , 16 years old ," Bengaluru/Bangalore +40 more
								   Highly Rated For Job Security, Company Culture, Salary & Benefits",
Kyndryl,4.1,1.8k,IT Services & Consulting , 10k-50k Employees , 3 years old ," New York +24 more
								   Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",
Aditya Birla Group,4.1,1.8k,Retail , 10k-50k Employees , Conglomerate , 167 years old , Mumbai +218 more
Dalmia Bharat Cement,4.0,1.8k,Building Material , 5k-10k Employees , Public , 89 years old , Delhi/NCR +188 more
Yazaki,3.8,1.8k,10k-50k Employees , 83 years old ," Tokyo +63 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",,
Ajanta Pharma,4.0,1.8k,Pharma , 5k-10k Employees , Public , 51 years old , Mumbai +95 more
